,10분우량,대여건수
2022-08-08,1.3950188242108312," 21,616 "
2022-09-05,0.9469762731481481," 5,208 "
2022-08-09,0.870697463768116, 482 
2022-07-13,0.8481535119478638," 21,922 "
2022-10-03,0.5555555555555556," 10,809 "
2022-08-03,0.3604019953051643," 102,130 "
2022-07-31,0.3570430191023451," 29,814 "
2022-08-19,0.34006438396254024," 83,749 "
2022-11-12,0.3067951318458418," 66,917 "
2022-08-11,0.2769007965242578," 108,359 "
2022-08-30,0.2630208333333333," 16,813 "
2022-09-06,0.2240306712962963," 142,342 "
2022-08-02,0.21943873053188362," 57,524 "
2022-08-01,0.20630787037037038," 108,030 "
2022-09-04,0.18397604440549226," 39,346 "
2022-07-06,0.16109180422820735," 142,649 "
2022-11-28,0.1320921985815603," 57,036 "
2022-10-09,0.11646412037037036," 24,968 "
2022-07-21,0.1091674047829938," 112,449 "
2022-07-23,0.10904616429056348," 79,826 "
2022-10-02,0.09143518518518519," 74,506 "
2022-10-04,0.08691561731075409," 146,100 "
2022-09-16,0.08421357256547533," 132,178 "
2022-07-16,0.07074652777777778," 110,506 "
2022-08-10,0.06911057692307693," 108,151 "
2022-08-27,0.03923132704858593," 173,160 "
2022-07-22,0.03508771929824561," 153,209 "
2022-08-06,0.03501157407407408," 106,406 "
2022-09-17,0.027511614401858304," 147,264 "
2022-12-12,0.025049489873610477," 59,098 "
2022-08-13,0.024962962962962965," 82,347 "
2022-11-29,0.02415982654483506," 92,580 "
2022-08-15,0.021339699074074073," 83,889 "
2022-08-23,0.01954821894005213," 152,206 "
2022-07-05,0.018366749597541344," 149,259 "
2022-12-21,0.016991818753933293," 31,784 "
2022-07-11,0.01674356303021283," 146,165 "
2022-07-24,0.01613136574074074," 113,217 "
2022-08-29,0.01468460648148148," 108,865 "
2022-08-14,0.01455604075691412," 87,778 "
2022-09-23,0.01447178002894356," 178,981 "
2022-11-15,0.014084507042253521," 125,177 "
2022-08-22,0.012740244612696563," 146,073 "
2022-10-10,0.01265914351851852," 72,486 "
2022-11-25,0.011968085106382979," 145,164 "
2022-08-25,0.011656530553142195," 135,159 "
2022-07-07,0.007815892314372557," 116,854 "
2022-07-20,0.007450810185185185," 145,087 "
2022-07-08,0.007450810185185185," 150,313 "
2022-07-04,0.00705521472392638," 151,497 "
2022-08-17,0.005931712962962963," 157,994 "
2022-12-03,0.005028098195800059," 57,915 "
2022-07-14,0.004846643518518518," 152,774 "
2022-12-16,0.004407051282051282," 41,953 "
2022-08-07,0.004297785547785548," 97,939 "
2022-07-17,0.003222498901420829," 128,631 "
2022-08-05,0.0024564537740062527," 145,855 "
2022-08-04,0.0019525382997897267," 148,807 "
2022-11-10,0.001714370900417412," 158,857 "
2022-10-05,0.001596980255516841," 179,824 "
2022-11-11,0.001467997651203758," 165,833 "
2022-12-07,0.0014341787439613527," 96,195 "
2022-07-19,0.0012483477750036716," 168,900 "
2022-10-06,0.0012297453703703704," 169,381 "
2022-12-25,0.0011322463768115942," 25,623 "
2022-12-13,0.0008486344699891992," 57,490 "
2022-12-23,0.0007638252367858234," 33,723 "
2022-12-26,0.0007633587786259542," 52,582 "
2022-08-20,0.0007233796296296296," 124,465 "
2022-07-30,0.0007233796296296296," 107,582 "
2022-12-27,0.0005283816425120773," 58,890 "
2022-11-16,0.0003617421501953408," 141,697 "
2022-09-11,0.0003616898148148148," 107,761 "
2022-07-29,0.0003616898148148148," 147,170 "
2022-12-17,0.0003108003108003108," 31,405 "
2022-12-22,0.0003087849312953528," 39,874 "
2022-07-10,0.00028935185185185184," 110,494 "
2022-12-15,0.00024315124007132436," 37,021 "
2022-12-30,0.0002264834667069304," 56,058 "
2022-12-24,0.00022644927536231884," 28,612 "
2022-07-01,0.00022218930528810547," 157,478 "
2022-07-18,0.0002188183807439825," 166,820 "
2022-09-18,0.00021701388888888888," 146,847 "
2022-12-06,0.0001556178026766262," 80,832 "
2022-08-31,0.00014847809948032666," 164,301 "
2022-11-26,0.0001479727730097662," 90,547 "
2022-07-09,8.933357155619081e-05," 134,633 "
